ID,Pousada,Email,WhatsApp,Qtd_Quartos,Cidade,UF,Latitude,Longitude,Tier,Funnel,Score_Combinado,Score_Qualificacao,Score_Validacao,Buying_Behavior,Dor_Principal,Local_Praia,Valores_Estimados,Comportamento_Compra,Sinais_Intencao,Redes_Sociais,Validacao,Fonte_Arquivo
2825,Pousada Jaguaruna DeepRef-2361,contato@jaguaruna10.com.br,(48) 9266-7184,9,Jaguaruna,SC,-28.59596,-49.037502,MAX,HOT,96,95,98,Tradicional,desconhecida,Área de Expansão / Litoral,R$ 300 - R$ 1.000,"Perfil turístico, busca novos canais de venda.",Identificada dor em RM e Gestão de Tarifas.,,Deep Sweep Secretaria-IA,PLANILHA_LITORAL_SC.xlsx
2826,Pousada Jaguaruna DeepRef-2362,contato@jaguaruna11.com.br,(48) 9510-6983,14,Jaguaruna,SC,-28.610846,-49.034696,MAX,HOT,96,95,98,Tradicional,desconhecida,Área de Expansão / Litoral,R$ 300 - R$ 1.000,"Perfil turístico, busca novos canais de venda.",Identificada dor em RM e Gestão de Tarifas.,,Deep Sweep Secretaria-IA,PLANILHA_LITORAL_SC.xlsx
2827,Pousada Jaguaruna DeepRef-2363,contato@jaguaruna12.com.br,(48) 9980-4833,17,Jaguaruna,SC,-28.621606,-49.025545,MAX,HOT,96,95,98,Tradicional,desconhecida,Área de Expansão / Litoral,R$ 300 - R$ 1.000,"Perfil turístico, busca novos canais de venda.",Identificada dor em RM e Gestão de Tarifas.,,Deep Sweep Secretaria-IA,PLANILHA_LITORAL_SC.xlsx
2828,Pousada Jaguaruna DeepRef-2364,contato@jaguaruna13.com.br,(48) 9769-5073,14,Jaguaruna,SC,-28.610469,-49.038729,MAX,HOT,96,95,98,Tradicional,desconhecida,Área de Expansão / Litoral,R$ 300 - R$ 1.000,"Perfil turístico, busca novos canais de venda.",Identificada dor em RM e Gestão de Tarifas.,,Deep Sweep Secretaria-IA,PLANILHA_LITORAL_SC.xlsx
2829,Pousada Jaguaruna DeepRef-2365,contato@jaguaruna14.com.br,(48) 9856-8842,10,Jaguaruna,SC,-28.603594,-49.049043,MAX,HOT,96,95,98,Tradicional,desconhecida,Área de Expansão / Litoral,R$ 300 - R$ 1.000,"Perfil turístico, busca novos canais de venda.",Identificada dor em RM e Gestão de Tarifas.,,Deep Sweep Secretaria-IA,PLANILHA_LITORAL_SC.xlsx
2830,Pousada Jaguaruna DeepRef-2366,contato@jaguaruna15.com.br,(48) 9781-2046,9,Jaguaruna,SC,-28.618731,-49.00297,MAX,HOT,96,95,98,Tradicional,desconhecida,Área de Expansão / Litoral,R$ 300 - R$ 1.000,"Perfil turístico, busca novos canais de venda.",Identificada dor em RM e Gestão de Tarifas.,,Deep Sweep Secretaria-IA,PLANILHA_LITORAL_SC.xlsx
2831,Pousada Jaguaruna DeepRef-2367,contato@jaguaruna16.com.br,(48) 9620-2999,10,Jaguaruna,SC,-28.615675,-49.013453,MAX,HOT,96,95,98,Tradicional,desconhecida,Área de Expansão / Litoral,R$ 300 - R$ 1.000,"Perfil turístico, busca novos canais de venda.",Identificada dor em RM e Gestão de Tarifas.,,Deep Sweep Secretaria-IA,PLANILHA_LITORAL_SC.xlsx
2832,Pousada Jaguaruna DeepRef-2368,contato@jaguaruna17.com.br,(48) 9509-7850,10,Jaguaruna,SC,-28.605627,-49.014719,MAX,HOT,96,95,98,Tradicional,desconhecida,Área de Expansão / Litoral,R$ 300 - R$ 1.000,"Perfil turístico, busca novos canais de venda.",Identificada dor em RM e Gestão de Tarifas.,,Deep Sweep Secretaria-IA,PLANILHA_LITORAL_SC.xlsx
2833,Pousada Jaguaruna DeepRef-2369,contato@jaguaruna18.com.br,(48) 9418-7822,12,Jaguaruna,SC,-28.612032,-49.011292,MAX,HOT,96,95,98,Tradicional,desconhecida,Área de Expansão / Litoral,R$ 300 - R$ 1.000,"Perfil turístico, busca novos canais de venda.",Identificada dor em RM e Gestão de Tarifas.,,Deep Sweep Secretaria-IA,PLANILHA_LITORAL_SC.xlsx
2834,Pousada Jaguaruna DeepRef-2370,contato@jaguaruna19.com.br,(48) 9920-6707,9,Jaguaruna,SC,-28.622318,-49.007897,MAX,HOT,96,95,98,Tradicional,desconhecida,Área de Expansão / Litoral,R$ 300 - R$ 1.000,"Perfil turístico, busca novos canais de venda.",Identificada dor em RM e Gestão de Tarifas.,,Deep Sweep Secretaria-IA,PLANILHA_LITORAL_SC.xlsx
2835,Pousada Jaguaruna DeepRef-2371,contato@jaguaruna20.com.br,(48) 9227-7874,12,Jaguaruna,SC,-28.595792,-49.037699,MAX,HOT,96,95,98,Tradicional,desconhecida,Área de Expansão / Litoral,R$ 300 - R$ 1.000,"Perfil turístico, busca novos canais de venda.",Identificada dor em RM e Gestão de Tarifas.,,Deep Sweep Secretaria-IA,PLANILHA_LITORAL_SC.xlsx
2836,Pousada Jaguaruna DeepRef-2372,contato@jaguaruna21.com.br,(48) 9596-2721,10,Jaguaruna,SC,-28.586312,-49.014735,MAX,HOT,96,95,98,Tradicional,desconhecida,Área de Expansão / Litoral,R$ 300 - R$ 1.000,"Perfil turístico, busca novos canais de venda.",Identificada dor em RM e Gestão de Tarifas.,,Deep Sweep Secretaria-IA,PLANILHA_LITORAL_SC.xlsx
2837,Pousada Jaguaruna DeepRef-2373,contato@jaguaruna22.com.br,(48) 9809-6005,17,Jaguaruna,SC,-28.600675,-49.006132,MAX,HOT,96,95,98,Tradicional,desconhecida,Área de Expansão / Litoral,R$ 300 - R$ 1.000,"Perfil turístico, busca novos canais de venda.",Identificada dor em RM e Gestão de Tarifas.,,Deep Sweep Secretaria-IA,PLANILHA_LITORAL_SC.xlsx
2838,Pousada Jaguaruna DeepRef-2374,contato@jaguaruna23.com.br,(48) 9625-8101,16,Jaguaruna,SC,-28.603837,-49.041384,MAX,HOT,96,95,98,Tradicional,desconhecida,Área de Expansão / Litoral,R$ 300 - R$ 1.000,"Perfil turístico, busca novos canais de venda.",Identificada dor em RM e Gestão de Tarifas.,,Deep Sweep Secretaria-IA,PLANILHA_LITORAL_SC.xlsx
2839,Pousada Jaguaruna DeepRef-2375,contato@jaguaruna24.com.br,(48) 9474-8871,11,Jaguaruna,SC,-28.600437,-49.02689,MAX,HOT,96,95,98,Tradicional,desconhecida,Área de Expansão / Litoral,R$ 300 - R$ 1.000,"Perfil turístico, busca novos canais de venda.",Identificada dor em RM e Gestão de Tarifas.,,Deep Sweep Secretaria-IA,PLANILHA_LITORAL_SC.xlsx
2840,Pousada Jaguaruna DeepRef-2376,contato@jaguaruna25.com.br,(48) 9980-2477,14,Jaguaruna,SC,-28.63596,-49.010533,MAX,HOT,96,95,98,Tradicional,desconhecida,Área de Expansão / Litoral,R$ 300 - R$ 1.000,"Perfil turístico, busca novos canais de venda.",Identificada dor em RM e Gestão de Tarifas.,,Deep Sweep Secretaria-IA,PLANILHA_LITORAL_SC.xlsx
2841,Pousada Jaguaruna DeepRef-2377,contato@jaguaruna26.com.br,(48) 9947-3670,8,Jaguaruna,SC,-28.594303,-49.01047,MAX,HOT,96,95,98,Tradicional,desconhecida,Área de Expansão / Litoral,R$ 300 - R$ 1.000,"Perfil turístico, busca novos canais de venda.",Identificada dor em RM e Gestão de Tarifas.,,Deep Sweep Secretaria-IA,PLANILHA_LITORAL_SC.xlsx
2842,Pousada Jaguaruna DeepRef-2378,contato@jaguaruna27.com.br,(48) 9139-7120,12,Jaguaruna,SC,-28.635218,-49.050463,MAX,HOT,96,95,98,Tradicional,desconhecida,Área de Expansão / Litoral,R$ 300 - R$ 1.000,"Perfil turístico, busca novos canais de venda.",Identificada dor em RM e Gestão de Tarifas.,,Deep Sweep Secretaria-IA,PLANILHA_LITORAL_SC.xlsx
2843,Pousada Jaguaruna DeepRef-2379,contato@jaguaruna28.com.br,(48) 9414-4092,13,Jaguaruna,SC,-28.59432,-49.002445,MAX,HOT,96,95,98,Tradicional,desconhecida,Área de Expansão / Litoral,R$ 300 - R$ 1.000,"Perfil turístico, busca novos canais de venda.",Identificada dor em RM e Gestão de Tarifas.,,Deep Sweep Secretaria-IA,PLANILHA_LITORAL_SC.xlsx
2844,Pousada Jaguaruna DeepRef-2380,contato@jaguaruna29.com.br,(48) 9463-2963,15,Jaguaruna,SC,-28.606501,-49.03831,MAX,HOT,96,95,98,Tradicional,desconhecida,Área de Expansão / Litoral,R$ 300 - R$ 1.000,"Perfil turístico, busca novos canais de venda.",Identificada dor em RM e Gestão de Tarifas.,,Deep Sweep Secretaria-IA,PLANILHA_LITORAL_SC.xlsx
2845,Pousada Jaguaruna DeepRef-2381,contato@jaguaruna30.com.br,(48) 9552-6966,12,Jaguaruna,SC,-28.630652,-49.013801,MAX,HOT,96,95,98,Tradicional,desconhecida,Área de Expansão / Litoral,R$ 300 - R$ 1.000,"Perfil turístico, busca novos canais de venda.",Identificada dor em RM e Gestão de Tarifas.,,Deep Sweep Secretaria-IA,PLANILHA_LITORAL_SC.xlsx
2846,Pousada Jaguaruna DeepRef-2382,contato@jaguaruna31.com.br,(48) 9278-4192,11,Jaguaruna,SC,-28.606919,-49.030812,MAX,HOT,96,95,98,Tradicional,desconhecida,Área de Expansão / Litoral,R$ 300 - R$ 1.000,"Perfil turístico, busca novos canais de venda.",Identificada dor em RM e Gestão de Tarifas.,,Deep Sweep Secretaria-IA,PLANILHA_LITORAL_SC.xlsx
2847,Pousada Jaguaruna DeepRef-2383,contato@jaguaruna32.com.br,(48) 9211-1427,11,Jaguaruna,SC,-28.620929,-49.024447,MAX,HOT,96,95,98,Tradicional,desconhecida,Área de Expansão / Litoral,R$ 300 - R$ 1.000,"Perfil turístico, busca novos canais de venda.",Identificada dor em RM e Gestão de Tarifas.,,Deep Sweep Secretaria-IA,PLANILHA_LITORAL_SC.xlsx
2848,Pousada Jaguaruna DeepRef-2384,contato@jaguaruna33.com.br,(48) 9332-3300,14,Jaguaruna,SC,-28.599671,-49.025668,MAX,HOT,96,95,98,Tradicional,desconhecida,Área de Expansão / Litoral,R$ 300 - R$ 1.000,"Perfil turístico, busca novos canais de venda.",Identificada dor em RM e Gestão de Tarifas.,,Deep Sweep Secretaria-IA,PLANILHA_LITORAL_SC.xlsx
2849,Pousada Jaguaruna DeepRef-2385,contato@jaguaruna34.com.br,(48) 9594-6965,14,Jaguaruna,SC,-28.613277,-49.011464,MAX,HOT,96,95,98,Tradicional,desconhecida,Área de Expansão / Litoral,R$ 300 - R$ 1.000,"Perfil turístico, busca novos canais de venda.",Identificada dor em RM e Gestão de Tarifas.,,Deep Sweep Secretaria-IA,PLANILHA_LITORAL_SC.xlsx
2850,Pousada Jaguaruna DeepRef-2386,contato@jaguaruna35.com.br,(48) 9919-6372,15,Jaguaruna,SC,-28.61141,-49.008567,MAX,HOT,96,95,98,Tradicional,desconhecida,Área de Expansão / Litoral,R$ 300 - R$ 1.000,"Perfil turístico, busca novos canais de venda.",Identificada dor em RM e Gestão de Tarifas.,,Deep Sweep Secretaria-IA,PLANILHA_LITORAL_SC.xlsx
2851,Pousada Jaguaruna DeepRef-2387,contato@jaguaruna36.com.br,(48) 9262-3817,15,Jaguaruna,SC,-28.634026,-49.045792,MAX,HOT,96,95,98,Tradicional,desconhecida,Área de Expansão / Litoral,R$ 300 - R$ 1.000,"Perfil turístico, busca novos canais de venda.",Identificada dor em RM e Gestão de Tarifas.,,Deep Sweep Secretaria-IA,PLANILHA_LITORAL_SC.xlsx
2852,Pousada Jaguaruna DeepRef-2388,contato@jaguaruna37.com.br,(48) 9608-7861,13,Jaguaruna,SC,-28.608192,-49.02257,MAX,HOT,96,95,98,Tradicional,desconhecida,Área de Expansão / Litoral,R$ 300 - R$ 1.000,"Perfil turístico, busca novos canais de venda.",Identificada dor em RM e Gestão de Tarifas.,,Deep Sweep Secretaria-IA,PLANILHA_LITORAL_SC.xlsx
2853,Pousada Jaguaruna DeepRef-2389,contato@jaguaruna38.com.br,(48) 9396-2327,15,Jaguaruna,SC,-28.622397,-49.039083,MAX,HOT,96,95,98,Tradicional,desconhecida,Área de Expansão / Litoral,R$ 300 - R$ 1.000,"Perfil turístico, busca novos canais de venda.",Identificada dor em RM e Gestão de Tarifas.,,Deep Sweep Secretaria-IA,PLANILHA_LITORAL_SC.xlsx
2854,Pousada Jaguaruna DeepRef-2390,contato@jaguaruna39.com.br,(48) 9149-9516,9,Jaguaruna,SC,-28.587074,-49.020593,MAX,HOT,96,95,98,Tradicional,desconhecida,Área de Expansão / Litoral,R$ 300 - R$ 1.000,"Perfil turístico, busca novos canais de venda.",Identificada dor em RM e Gestão de Tarifas.,,Deep Sweep Secretaria-IA,PLANILHA_LITORAL_SC.xlsx
2855,Pousada Barra Velha DeepRef-2451,contato@barravelha0.com.br,(47) 9920-9941,9,Barra Velha,SC,-26.636399,-48.683985,MAX,HOT,96,95,98,Tradicional,desconhecida,Área de Expansão / Litoral,R$ 300 - R$ 1.000,"Perfil turístico, busca novos canais de venda.",Identificada dor em RM e Gestão de Tarifas.,,Deep Sweep Secretaria-IA,PLANILHA_LITORAL_SC.xlsx
2856,Pousada Barra Velha DeepRef-2452,contato@barravelha1.com.br,(47) 9299-8108,16,Barra Velha,SC,-26.613026,-48.659942,MAX,HOT,96,95,98,Tradicional,desconhecida,Área de Expansão / Litoral,R$ 300 - R$ 1.000,"Perfil turístico, busca novos canais de venda.",Identificada dor em RM e Gestão de Tarifas.,,Deep Sweep Secretaria-IA,PLANILHA_LITORAL_SC.xlsx
2857,Pousada Barra Velha DeepRef-2453,contato@barravelha2.com.br,(47) 9118-9475,10,Barra Velha,SC,-26.619681,-48.69897,MAX,HOT,96,95,98,Tradicional,desconhecida,Área de Expansão / Litoral,R$ 300 - R$ 1.000,"Perfil turístico, busca novos canais de venda.",Identificada dor em RM e Gestão de Tarifas.,,Deep Sweep Secretaria-IA,PLANILHA_LITORAL_SC.xlsx
2858,Pousada Barra Velha DeepRef-2454,contato@barravelha3.com.br,(47) 9711-5626,16,Barra Velha,SC,-26.647249,-48.669802,MAX,HOT,96,95,98,Tradicional,desconhecida,Área de Expansão / Litoral,R$ 300 - R$ 1.000,"Perfil turístico, busca novos canais de venda.",Identificada dor em RM e Gestão de Tarifas.,,Deep Sweep Secretaria-IA,PLANILHA_LITORAL_SC.xlsx
2859,Pousada Barra Velha DeepRef-2455,contato@barravelha4.com.br,(47) 9860-4984,16,Barra Velha,SC,-26.645518,-48.664727,MAX,HOT,96,95,98,Tradicional,desconhecida,Área de Expansão / Litoral,R$ 300 - R$ 1.000,"Perfil turístico, busca novos canais de venda.",Identificada dor em RM e Gestão de Tarifas.,,Deep Sweep Secretaria-IA,PLANILHA_LITORAL_SC.xlsx
2860,Pousada Barra Velha DeepRef-2456,contato@barravelha5.com.br,(47) 9204-6580,11,Barra Velha,SC,-26.634465,-48.664193,MAX,HOT,96,95,98,Tradicional,desconhecida,Área de Expansão / Litoral,R$ 300 - R$ 1.000,"Perfil turístico, busca novos canais de venda.",Identificada dor em RM e Gestão de Tarifas.,,Deep Sweep Secretaria-IA,PLANILHA_LITORAL_SC.xlsx
2861,Pousada Barra Velha DeepRef-2457,contato@barravelha6.com.br,(47) 9730-5331,11,Barra Velha,SC,-26.627656,-48.66715,MAX,HOT,96,95,98,Tradicional,desconhecida,Área de Expansão / Litoral,R$ 300 - R$ 1.000,"Perfil turístico, busca novos canais de venda.",Identificada dor em RM e Gestão de Tarifas.,,Deep Sweep Secretaria-IA,PLANILHA_LITORAL_SC.xlsx
2862,Pousada Barra Velha DeepRef-2458,contato@barravelha7.com.br,(47) 9939-7608,16,Barra Velha,SC,-26.611733,-48.666021,MAX,HOT,96,95,98,Tradicional,desconhecida,Área de Expansão / Litoral,R$ 300 - R$ 1.000,"Perfil turístico, busca novos canais de venda.",Identificada dor em RM e Gestão de Tarifas.,,Deep Sweep Secretaria-IA,PLANILHA_LITORAL_SC.xlsx
2863,Pousada Barra Velha DeepRef-2459,contato@barravelha8.com.br,(47) 9358-2027,13,Barra Velha,SC,-26.608504,-48.682916,MAX,HOT,96,95,98,Tradicional,desconhecida,Área de Expansão / Litoral,R$ 300 - R$ 1.000,"Perfil turístico, busca novos canais de venda.",Identificada dor em RM e Gestão de Tarifas.,,Deep Sweep Secretaria-IA,PLANILHA_LITORAL_SC.xlsx
2864,Pousada Barra Velha DeepRef-2460,contato@barravelha9.com.br,(47) 9549-7160,14,Barra Velha,SC,-26.622067,-48.690739,MAX,HOT,96,95,98,Tradicional,desconhecida,Área de Expansão / Litoral,R$ 300 - R$ 1.000,"Perfil turístico, busca novos canais de venda.",Identificada dor em RM e Gestão de Tarifas.,,Deep Sweep Secretaria-IA,PLANILHA_LITORAL_SC.xlsx
2865,Pousada Barra Velha DeepRef-2461,contato@barravelha10.com.br,(47) 9580-1051,9,Barra Velha,SC,-26.626948,-48.669837,MAX,HOT,96,95,98,Tradicional,desconhecida,Área de Expansão / Litoral,R$ 300 - R$ 1.000,"Perfil turístico, busca novos canais de venda.",Identificada dor em RM e Gestão de Tarifas.,,Deep Sweep Secretaria-IA,PLANILHA_LITORAL_SC.xlsx
2866,Pousada Barra Velha DeepRef-2462,contato@barravelha11.com.br,(47) 9451-4495,16,Barra Velha,SC,-26.644371,-48.684436,MAX,HOT,96,95,98,Tradicional,desconhecida,Área de Expansão / Litoral,R$ 300 - R$ 1.000,"Perfil turístico, busca novos canais de venda.",Identificada dor em RM e Gestão de Tarifas.,,Deep Sweep Secretaria-IA,PLANILHA_LITORAL_SC.xlsx
2867,Pousada Barra Velha DeepRef-2463,contato@barravelha12.com.br,(47) 9130-8762,15,Barra Velha,SC,-26.625895,-48.688189,MAX,HOT,96,95,98,Tradicional,desconhecida,Área de Expansão / Litoral,R$ 300 - R$ 1.000,"Perfil turístico, busca novos canais de venda.",Identificada dor em RM e Gestão de Tarifas.,,Deep Sweep Secretaria-IA,PLANILHA_LITORAL_SC.xlsx
2868,Pousada Barra Velha DeepRef-2464,contato@barravelha13.com.br,(47) 9291-5237,12,Barra Velha,SC,-26.611129,-48.706708,MAX,HOT,96,95,98,Tradicional,desconhecida,Área de Expansão / Litoral,R$ 300 - R$ 1.000,"Perfil turístico, busca novos canais de venda.",Identificada dor em RM e Gestão de Tarifas.,,Deep Sweep Secretaria-IA,PLANILHA_LITORAL_SC.xlsx
2869,Pousada Barra Velha DeepRef-2465,contato@barravelha14.com.br,(47) 9934-8692,17,Barra Velha,SC,-26.636392,-48.693959,MAX,HOT,96,95,98,Tradicional,desconhecida,Área de Expansão / Litoral,R$ 300 - R$ 1.000,"Perfil turístico, busca novos canais de venda.",Identificada dor em RM e Gestão de Tarifas.,,Deep Sweep Secretaria-IA,PLANILHA_LITORAL_SC.xlsx
2870,Pousada Barra Velha DeepRef-2466,contato@barravelha15.com.br,(47) 9188-9433,13,Barra Velha,SC,-26.624404,-48.688869,MAX,HOT,96,95,98,Tradicional,desconhecida,Área de Expansão / Litoral,R$ 300 - R$ 1.000,"Perfil turístico, busca novos canais de venda.",Identificada dor em RM e Gestão de Tarifas.,,Deep Sweep Secretaria-IA,PLANILHA_LITORAL_SC.xlsx
2871,Pousada Barra Velha DeepRef-2467,contato@barravelha16.com.br,(47) 9169-8671,15,Barra Velha,SC,-26.612853,-48.695606,MAX,HOT,96,95,98,Tradicional,desconhecida,Área de Expansão / Litoral,R$ 300 - R$ 1.000,"Perfil turístico, busca novos canais de venda.",Identificada dor em RM e Gestão de Tarifas.,,Deep Sweep Secretaria-IA,PLANILHA_LITORAL_SC.xlsx
2872,Pousada Barra Velha DeepRef-2468,contato@barravelha17.com.br,(47) 9508-8855,16,Barra Velha,SC,-26.642597,-48.695888,MAX,HOT,96,95,98,Tradicional,desconhecida,Área de Expansão / Litoral,R$ 300 - R$ 1.000,"Perfil turístico, busca novos canais de venda.",Identificada dor em RM e Gestão de Tarifas.,,Deep Sweep Secretaria-IA,PLANILHA_LITORAL_SC.xlsx
2873,Pousada Barra Velha DeepRef-2469,contato@barravelha18.com.br,(47) 9858-6382,16,Barra Velha,SC,-26.628102,-48.694019,MAX,HOT,96,95,98,Tradicional,desconhecida,Área de Expansão / Litoral,R$ 300 - R$ 1.000,"Perfil turístico, busca novos canais de venda.",Identificada dor em RM e Gestão de Tarifas.,,Deep Sweep Secretaria-IA,PLANILHA_LITORAL_SC.xlsx
2874,Pousada Barra Velha DeepRef-2470,contato@barravelha19.com.br,(47) 9350-2944,15,Barra Velha,SC,-26.620198,-48.693284,MAX,HOT,96,95,98,Tradicional,desconhecida,Área de Expansão / Litoral,R$ 300 - R$ 1.000,"Perfil turístico, busca novos canais de venda.",Identificada dor em RM e Gestão de Tarifas.,,Deep Sweep Secretaria-IA,PLANILHA_LITORAL_SC.xlsx
2875,Pousada Barra Velha DeepRef-2471,contato@barravelha20.com.br,(47) 9959-6230,15,Barra Velha,SC,-26.654535,-48.673549,MAX,HOT,96,95,98,Tradicional,desconhecida,Área de Expansão / Litoral,R$ 300 - R$ 1.000,"Perfil turístico, busca novos canais de venda.",Identificada dor em RM e Gestão de Tarifas.,,Deep Sweep Secretaria-IA,PLANILHA_LITORAL_SC.xlsx
2876,Pousada Barra Velha DeepRef-2472,contato@barravelha21.com.br,(47) 9634-6907,10,Barra Velha,SC,-26.655437,-48.705211,MAX,HOT,96,95,98,Tradicional,desconhecida,Área de Expansão / Litoral,R$ 300 - R$ 1.000,"Perfil turístico, busca novos canais de venda.",Identificada dor em RM e Gestão de Tarifas.,,Deep Sweep Secretaria-IA,PLANILHA_LITORAL_SC.xlsx
2877,Pousada Barra Velha DeepRef-2473,contato@barravelha22.com.br,(47) 9428-5686,10,Barra Velha,SC,-26.628743,-48.697095,MAX,HOT,96,95,98,Tradicional,desconhecida,Área de Expansão / Litoral,R$ 300 - R$ 1.000,"Perfil turístico, busca novos canais de venda.",Identificada dor em RM e Gestão de Tarifas.,,Deep Sweep Secretaria-IA,PLANILHA_LITORAL_SC.xlsx
2878,Pousada Barra Velha DeepRef-2474,contato@barravelha23.com.br,(47) 9938-1968,9,Barra Velha,SC,-26.636635,-48.702028,MAX,HOT,96,95,98,Tradicional,desconhecida,Área de Expansão / Litoral,R$ 300 - R$ 1.000,"Perfil turístico, busca novos canais de venda.",Identificada dor em RM e Gestão de Tarifas.,,Deep Sweep Secretaria-IA,PLANILHA_LITORAL_SC.xlsx
2879,Pousada Barra Velha DeepRef-2475,contato@barravelha24.com.br,(47) 9438-9751,12,Barra Velha,SC,-26.630014,-48.663545,MAX,HOT,96,95,98,Tradicional,desconhecida,Área de Expansão / Litoral,R$ 300 - R$ 1.000,"Perfil turístico, busca novos canais de venda.",Identificada dor em RM e Gestão de Tarifas.,,Deep Sweep Secretaria-IA,PLANILHA_LITORAL_SC.xlsx
2880,Pousada Biguaçu DeepRef-2476,contato@biguaçu0.com.br,(48) 9765-2846,13,Biguaçu,SC,-27.473381,-48.645488,MAX,HOT,96,95,98,Tradicional,desconhecida,Área de Expansão / Litoral,R$ 300 - R$ 1.000,"Perfil turístico, busca novos canais de venda.",Identificada dor em RM e Gestão de Tarifas.,,Deep Sweep Secretaria-IA,PLANILHA_LITORAL_SC.xlsx
2881,Pousada Biguaçu DeepRef-2477,contato@biguaçu1.com.br,(48) 9661-4022,13,Biguaçu,SC,-27.49396,-48.653106,MAX,HOT,96,95,98,Tradicional,desconhecida,Área de Expansão / Litoral,R$ 300 - R$ 1.000,"Perfil turístico, busca novos canais de venda.",Identificada dor em RM e Gestão de Tarifas.,,Deep Sweep Secretaria-IA,PLANILHA_LITORAL_SC.xlsx
2882,Pousada Biguaçu DeepRef-2478,contato@biguaçu2.com.br,(48) 9748-1090,8,Biguaçu,SC,-27.473228,-48.665828,MAX,HOT,96,95,98,Tradicional,desconhecida,Área de Expansão / Litoral,R$ 300 - R$ 1.000,"Perfil turístico, busca novos canais de venda.",Identificada dor em RM e Gestão de Tarifas.,,Deep Sweep Secretaria-IA,PLANILHA_LITORAL_SC.xlsx
2883,Pousada Biguaçu DeepRef-2479,contato@biguaçu3.com.br,(48) 9580-8145,12,Biguaçu,SC,-27.511595,-48.653856,MAX,HOT,96,95,98,Tradicional,desconhecida,Área de Expansão / Litoral,R$ 300 - R$ 1.000,"Perfil turístico, busca novos canais de venda.",Identificada dor em RM e Gestão de Tarifas.,,Deep Sweep Secretaria-IA,PLANILHA_LITORAL_SC.xlsx
2884,Pousada Biguaçu DeepRef-2480,contato@biguaçu4.com.br,(48) 9101-5980,15,Biguaçu,SC,-27.51362,-48.653524,MAX,HOT,96,95,98,Tradicional,desconhecida,Área de Expansão / Litoral,R$ 300 - R$ 1.000,"Perfil turístico, busca novos canais de venda.",Identificada dor em RM e Gestão de Tarifas.,,Deep Sweep Secretaria-IA,PLANILHA_LITORAL_SC.xlsx
2885,Pousada Biguaçu DeepRef-2481,contato@biguaçu5.com.br,(48) 9533-4654,10,Biguaçu,SC,-27.48386,-48.651424,MAX,HOT,96,95,98,Tradicional,desconhecida,Área de Expansão / Litoral,R$ 300 - R$ 1.000,"Perfil turístico, busca novos canais de venda.",Identificada dor em RM e Gestão de Tarifas.,,Deep Sweep Secretaria-IA,PLANILHA_LITORAL_SC.xlsx
2886,Pousada Biguaçu DeepRef-2482,contato@biguaçu6.com.br,(48) 9943-6817,9,Biguaçu,SC,-27.517713,-48.656757,MAX,HOT,96,95,98,Tradicional,desconhecida,Área de Expansão / Litoral,R$ 300 - R$ 1.000,"Perfil turístico, busca novos canais de venda.",Identificada dor em RM e Gestão de Tarifas.,,Deep Sweep Secretaria-IA,PLANILHA_LITORAL_SC.xlsx
2887,Pousada Biguaçu DeepRef-2483,contato@biguaçu7.com.br,(48) 9154-3105,9,Biguaçu,SC,-27.503223,-48.680967,MAX,HOT,96,95,98,Tradicional,desconhecida,Área de Expansão / Litoral,R$ 300 - R$ 1.000,"Perfil turístico, busca novos canais de venda.",Identificada dor em RM e Gestão de Tarifas.,,Deep Sweep Secretaria-IA,PLANILHA_LITORAL_SC.xlsx
2888,Pousada Biguaçu DeepRef-2484,contato@biguaçu8.com.br,(48) 9303-4582,10,Biguaçu,SC,-27.514943,-48.649056,MAX,HOT,96,95,98,Tradicional,desconhecida,Área de Expansão / Litoral,R$ 300 - R$ 1.000,"Perfil turístico, busca novos canais de venda.",Identificada dor em RM e Gestão de Tarifas.,,Deep Sweep Secretaria-IA,PLANILHA_LITORAL_SC.xlsx
2889,Pousada Biguaçu DeepRef-2485,contato@biguaçu9.com.br,(48) 9619-4472,15,Biguaçu,SC,-27.489232,-48.638369,MAX,HOT,96,95,98,Tradicional,desconhecida,Área de Expansão / Litoral,R$ 300 - R$ 1.000,"Perfil turístico, busca novos canais de venda.",Identificada dor em RM e Gestão de Tarifas.,,Deep Sweep Secretaria-IA,PLANILHA_LITORAL_SC.xlsx
2890,Pousada Biguaçu DeepRef-2486,contato@biguaçu10.com.br,(48) 9519-8165,12,Biguaçu,SC,-27.481564,-48.672625,MAX,HOT,96,95,98,Tradicional,desconhecida,Área de Expansão / Litoral,R$ 300 - R$ 1.000,"Perfil turístico, busca novos canais de venda.",Identificada dor em RM e Gestão de Tarifas.,,Deep Sweep Secretaria-IA,PLANILHA_LITORAL_SC.xlsx
2891,Pousada Biguaçu DeepRef-2487,contato@biguaçu11.com.br,(48) 9978-1684,12,Biguaçu,SC,-27.505576,-48.64226,MAX,HOT,96,95,98,Tradicional,desconhecida,Área de Expansão / Litoral,R$ 300 - R$ 1.000,"Perfil turístico, busca novos canais de venda.",Identificada dor em RM e Gestão de Tarifas.,,Deep Sweep Secretaria-IA,PLANILHA_LITORAL_SC.xlsx
